1,1,3,4.803514797007665
1,1,4,4.819357613101602
1,1,5,4.8684562761336565
2,1,3,5.458724305965006
2,1,4,5.493162831058726
2,1,5,5.456733820028603
3,1,3,5.936754890950397
3,1,4,5.982642089948058
3,1,5,6.004217084031552
4,1,3,5.1542122340761125
4,1,4,5.173717543948442
4,1,5,5.176882535917684
5,1,3,7.339565742993727
5,1,4,7.316026557935402
5,1,5,6.398477731039748
6,1,3,6.417236415902153
6,1,4,6.396988563938066
6,1,5,6.3236824159976095
7,1,3,5.803168445127085
7,1,4,5.9160753230098635
7,1,5,5.896479187998921
8,1,3,8.308874907903373
8,1,4,8.322608051123098
8,1,5,8.266062045004219
9,1,3,5.902478500967845
9,1,4,5.978599344147369
9,1,5,5.912745771929622
10,1,3,22.8665247510653
10,1,4,22.479741365183145
10,1,5,17.703222092008218
